code,name,industry,industry_standard,as_of,last_close,average_amount_20d,momentum_60d,revenue_yoy,profit_yoy,latest_week_end,sector_estimated_net_flow,sector_flow_to_amount,sector_score,rounded_bottom,rounded_score,rounded_r2,rounded_curvature,rounded_recovery,last_5d_return,accumulation_anomaly,accumulation_score,main_net_10d,main_positive_ratio,main_flow_zscore,volume_ratio,price_return_10d,revenue_yoy_w,profit_yoy_w,financial_growth,industry_financial_growth_mean,industry_momentum_mean,growth_metric,industry_growth_mean,growth_above_avg,growth_source,growth_percentile,composite_score,hard_signal,watch_signal,recommendation_status,planned_holding_days,entry_rule,reference_stop,reference_target,exit_rule
603230,内蒙新华,出版,申万二级行业,2026-09-24,18.47,299634877.3,1.0545050055617349,,,2026-09-25,1346112890.1743772,0.03971373138732853,0.912,True,1.0,0.7675666755704926,0.2928397345893185,1.1602339181286547,0.5077551020408162,False,0.9099999999999999,4018270155.3838162,0.7,24.265651282244473,6.511536694751742,0.8378109452736315,,,,,0.21326664159694095,1.0545050055617349,0.21326664159694095,True,60日价格动量(财报缺失后备),1.0,0.9599,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,17.915899999999997,19.5782,止损3% / 止盈6% / 最长1日
001368,通达创智,文娱用品,申万二级行业,2026-09-24,38.0,134455136.85,0.8164435946462714,,,2026-09-25,983550664.0927685,0.1313850357465925,0.872,True,1.0,0.937440554524493,0.263713113068863,1.0042194092827001,0.20558375634517767,False,0.9063172334956187,822950086.9598397,0.9,1.9693102791301564,2.0774469749683626,0.3944954128440368,,,,,0.10595315624515253,0.8164435946462714,0.10595315624515253,True,60日价格动量(财报缺失后备),1.0,0.9509793083739047,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,36.86,40.28,止损3% / 止盈6% / 最长1日
003006,百亚股份,个护用品,申万二级行业,2026-09-24,22.64,606694784.75,0.5174262734584452,,,2026-09-25,1200715585.3153305,0.17972837454360593,0.904,True,1.0,0.8339408900592894,0.28513675245944364,0.7388632872503842,0.12974051896207595,False,0.9099999999999999,4505318573.51556,0.7,4.176386670695895,4.521911544840756,0.24395604395604398,,,,,0.16422331801643186,0.5174262734584452,0.16422331801643186,True,60日价格动量(财报缺失后备),0.9166666666666666,0.9374666666666667,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,21.9608,23.9984,止损3% / 止盈6% / 最长1日
605577,龙版传媒,出版,申万二级行业,2026-09-24,16.52,462516858.5,0.8416945373467111,,,2026-09-25,1346112890.1743772,0.03971373138732853,0.912,True,1.0,0.8443268298060005,0.3038813265625341,0.8751418842224743,0.10133333333333328,True,0.7014807401147582,1827004531.7435708,0.6,1.0123395009563194,3.226257206649455,-0.11515800749866101,,,,,0.21326664159694095,0.8416945373467111,0.21326664159694095,True,60日价格动量(财报缺失后备),0.9642857142857143,0.898841613600118,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,16.0244,17.5112,止损3% / 止盈6% / 最长1日
603999,读者传媒,出版,申万二级行业,2026-09-24,6.53,158119403.6,0.27788649706457913,,,2026-09-25,1346112890.1743772,0.03971373138732853,0.912,False,1.0,0.8606488970303714,0.051486439003845565,0.3033932135728543,-0.001529051987767538,True,0.6977011114581835,405644087.3066057,0.7,0.7308425954848626,2.1254548495725727,0.013975155279503104,,,,,0.21326664159694095,0.27788649706457913,0.21326664159694095,True,60日价格动量(财报缺失后备),0.8571428571428571,0.8711109921502602,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,6.3341,6.9218,止损3% / 止盈6% / 最长1日
002285,世联行,房地产服务,申万二级行业,2026-09-24,3.26,478430741.2,0.5673076923076921,,,2026-09-25,1040911528.0401735,0.062106986008177906,0.88,True,1.0,0.7796999540596014,0.14872399150804122,0.6717948717948716,0.23954372623574138,False,0.6724402846240618,1080189346.0809493,0.5,1.0203357052005155,2.3200115947357465,0.4488888888888889,,,,,0.23812167084566133,0.5673076923076921,0.23812167084566133,True,60日价格动量(财报缺失后备),0.9,0.8691100711560156,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,3.1622,3.4556,止损3% / 止盈6% / 最长1日
600088,中视传媒,影视院线,申万二级行业,2026-09-24,12.91,402890025.3,0.14857651245551606,,,2026-09-25,1651758588.360783,0.06748851063972097,0.92,False,1.0,0.7666322834865958,0.12479265364775805,0.2099343955014059,-0.2030864197530864,True,0.8488854083655741,972227113.4763532,0.7,1.9907117363797855,5.2421000939006115,-0.03656716417910444,,,,,0.1146886294573149,0.14857651245551606,0.1146886294573149,True,60日价格动量(财报缺失后备),0.6111111111111112,0.8489991298691715,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,12.5227,13.684600000000001,止损3% / 止盈6% / 最长1日
601319,中国人保,保险Ⅱ,申万二级行业,2026-09-24,8.07,727733765.45,0.11772853185595578,,,2026-09-25,4283966499.607012,0.1733064737087084,0.96,True,1.0,0.5475451217720684,0.07434125043166916,0.17638483965014573,0.04941482444733425,False,0.42561092062469613,832227674.6086131,0.5,-0.03603197877332431,0.7561092062469613,0.03065134099616862,,,,,0.025488007556287485,0.11772853185595578,0.025488007556287485,True,60日价格动量(财报缺失后备),1.0,0.8484027301561741,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,7.8279,8.554200000000002,止损3% / 止盈6% / 最长1日
002780,三夫户外,服装家纺,申万二级行业,2026-09-24,14.91,103848113.45,0.18052256532066502,,,2026-09-25,190342900.03256953,0.007585617894683016,0.792,False,1.0,0.5922038505244747,0.026332008568835136,0.28756476683937815,0.11769115442278855,True,0.686928011440876,354504440.2631479,0.7,0.6410667620072996,2.17005247602574,0.14165390505359876,,,,,0.04616934606328544,0.18052256532066502,0.04616934606328544,True,60日价格动量(财报缺失后备),0.8679245283018868,0.8471131349356906,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,14.4627,15.8046,止损3% / 止盈6% / 最长1日
600189,泉阳泉,饮料乳品,申万二级行业,2026-09-24,9.1,106548366.65,0.1621966794380587,,,2026-09-25,735276232.9927316,0.04611129228329625,0.84,True,1.0,0.6928621477788336,0.056992136697210184,0.32267441860465107,0.18335500650195047,True,0.6301174323654888,403446450.0617823,0.6,0.8482792483796349,1.4832392255993265,0.1651728553137004,,,,,0.10682566653088385,0.1621966794380587,0.10682566653088385,True,60日价格动量(财报缺失后备),0.8846153846153846,0.8466832042452184,True,True,触发候选,1,下一交易日开盘；若较参考收盘高开超过3%则跳过,8.827,9.646,止损3% / 止盈6% / 最长1日
