code,name,industry,industry_standard,as_of,last_close,average_amount_20d,momentum_60d,revenue_yoy,profit_yoy,latest_week_end,sector_estimated_net_flow,sector_flow_to_amount,sector_score,rounded_bottom,rounded_score,rounded_r2,rounded_curvature,rounded_recovery,last_5d_return,accumulation_anomaly,accumulation_score,main_net_10d,main_positive_ratio,main_flow_zscore,volume_ratio,price_return_10d,revenue_yoy_w,profit_yoy_w,financial_growth,industry_financial_growth_mean,industry_momentum_mean,growth_metric,industry_growth_mean,growth_above_avg,growth_source,growth_percentile,composite_score,hard_signal,watch_signal
000993,闽东电力,电力,申万二级行业,2026-09-21,20.43,679779149.95,1.0720081135902637,,,2026-09-25,5261146759.617193,0.1919488119405873,0.792,True,1.0,0.6847509126346489,0.33002043414203425,1.171094580233794,0.337917485265226,False,1.0,10380949879.54277,1.0,13.680293066703916,8.336697392495916,0.9587727708533078,,,,,0.034006392468396755,1.0720081135902637,0.034006392468396755,True,60日价格动量(财报缺失后备),1.0,0.9583999999999999,True,True
605058,澳弘电子,元件,申万二级行业,2026-09-21,48.43,325564225.5,0.4053975623911781,,,2026-09-25,9442369119.21513,0.06886603904203008,0.928,True,1.0,0.8209315490637803,0.4662461251660578,1.138189845474614,0.32177947598253276,False,0.94,2952164537.7776084,0.8,4.981004183556173,7.256904721976404,0.685694396101636,,,,,-0.019249126790154593,0.4053975623911781,-0.019249126790154593,True,60日价格动量(财报缺失后备),0.9152542372881356,0.949413559322034,True,True
300829,金丹科技,化学制品,申万二级行业,2026-09-21,25.72,222948339.05,0.8760029175784096,,,2026-09-25,6853412862.907322,0.1885741623585259,0.864,True,1.0,0.83040390529377,0.1785016945547221,0.9754224270353302,0.44413250982594055,False,0.8499999999999999,1356961845.248911,0.5,2.7950718797073715,2.4932772922043895,0.4910144927536231,,,,,-0.010827315446044422,0.8760029175784096,-0.010827315446044422,True,60日价格动量(财报缺失后备),0.9880239520958084,0.9323059880239519,True,True
000532,华金资本,多元金融,申万二级行业,2026-09-21,14.26,161693749.3,0.34022556390977443,,,2026-09-25,3826626513.3736587,0.695209141301081,0.76,True,1.0,0.7882576368435382,0.09134132288286169,0.45658835546476007,0.2146507666098807,False,0.9099999999999999,1101161455.5199666,0.7,3.2596549255866822,4.040825983104337,0.2519754170324846,,,,,0.05686059972852035,0.34022556390977443,0.05686059972852035,True,60日价格动量(财报缺失后备),1.0,0.9295,True,True
605177,东亚药业,化学制药,申万二级行业,2026-09-21,24.73,223387516.8,0.4377906976744186,,,2026-09-25,32849750014.350956,0.6628584792480533,1.0,False,1.0,0.8813914140540946,0.21683065171779978,0.7269553072625698,-0.010800000000000032,True,0.7122164200024732,946154356.7423838,0.7,1.102475466982405,1.699193639645845,0.12103354487760654,,,,,0.09202111245957685,0.4377906976744186,0.09202111245957685,True,60日价格动量(财报缺失后备),0.951048951048951,0.9158163427628561,True,True
002453,华软科技,化学制品,申万二级行业,2026-09-21,5.87,71556631.9,0.3250564334085779,,,2026-09-25,6853412862.907322,0.1885741623585259,0.864,True,1.0,0.49742494050011743,0.1093760541159522,0.5737265415549597,0.31614349775784767,False,0.8300828239006359,792108091.8000002,0.6,2.0840235325053,2.0270379681614616,0.2733188720173536,,,,,-0.010827315446044422,0.3250564334085779,-0.010827315446044422,True,60日价格动量(财报缺失后备),0.9401197604790419,0.9153506460949195,True,True
605577,龙版传媒,出版,申万二级行业,2026-09-21,16.56,380916460.85,0.7864077669902911,,,2026-09-25,3095984035.93797,0.3954192363534251,0.688,False,1.0,0.8075307061543519,0.2921656350479724,0.8796821793416569,-0.014285714285714457,True,0.9099999999999999,2843343822.5852547,0.7,3.696244435210336,4.635507609769261,0.17114568599717095,,,,,0.19325399712226257,0.7864077669902911,0.19325399712226257,True,60日价格动量(财报缺失后备),1.0,0.9151,True,True
000978,桂林旅游,旅游及景区,申万二级行业,2026-09-21,8.39,559261034.0,0.5920303605313095,,,2026-09-25,3220049390.0115304,0.6110304754721457,0.712,False,1.0,0.8136265283892826,0.19050141483382738,0.6072796934865903,-0.22744014732965,True,0.8799999999999999,2269321235.6081705,0.6,2.8868592584366985,7.865634996308122,0.0474406991260925,,,,,0.1082506432499345,0.5920303605313095,0.1082506432499345,True,60日价格动量(财报缺失后备),1.0,0.9123999999999999,True,True
300741,华宝股份,化学制品,申万二级行业,2026-09-21,26.0,307272798.8,1.03125,,,2026-09-25,6853412862.907322,0.1885741623585259,0.864,True,1.0,0.9207865285704555,0.35893940652249495,1.1487603305785123,0.2333965844402277,False,0.7546278152935968,868931958.0032313,0.6,1.4552317941133075,5.0705802253343855,0.344364012409514,,,,,-0.010827315446044422,1.03125,-0.010827315446044422,True,60日价格动量(财报缺失后备),0.9940119760479041,0.9099599478353751,True,True
002981,朝阳科技,消费电子,申万二级行业,2026-09-21,26.51,63929352.4,0.4518072289156627,,,2026-09-25,8432040966.102451,0.15009474858799207,0.904,False,1.0,0.8553292295999844,-0.04221612660606301,0.4376355748373102,0.10920502092050222,True,0.7120680836205802,466111679.93425226,0.7,0.8963161604532913,1.9451014436618517,0.08870636550307998,,,,,-0.04423060923632304,0.4518072289156627,-0.04423060923632304,True,60日价格动量(财报缺失后备),0.9775280898876404,0.9031990433770551,True,True
688078,龙软科技,软件开发,申万二级行业,2026-09-21,30.32,42242265.55,0.48119198827552534,,,2026-09-25,16710847623.395426,0.4491009657190006,0.976,False,1.0,0.9004777290700943,0.10891930535601524,0.500247402276101,0.14458286145715382,True,0.6407907764036604,109096469.26265724,0.7,0.498088696007928,1.7102013288270905,0.12379540400296518,,,,,0.0640614544403898,0.48119198827552534,0.0640614544403898,True,60日价格动量(财报缺失后备),0.9761904761904762,0.8994453131485342,True,True
688613,奥精医疗,医疗器械,申万二级行业,2026-09-21,19.21,71390920.75,0.3340277777777778,,,2026-09-25,10612002391.400925,0.49918789673427133,0.952,True,1.0,0.44727556589194895,0.06711983581779438,0.46641221374045805,0.22983354673495526,False,0.6886336243974347,303440994.83530647,0.7,0.9528430460665827,1.642924588694447,0.20062500000000005,,,,,0.07771747196358494,0.3340277777777778,0.07771747196358494,True,60日价格动量(财报缺失后备),0.9274193548387096,0.8944132448090361,True,True
002815,崇达技术,元件,申万二级行业,2026-09-21,23.88,1577213130.7,0.5009428032683847,,,2026-09-25,9442369119.21513,0.06886603904203008,0.928,True,1.0,0.8594052219831596,0.5383171914529714,1.2152133580705011,0.13068181818181812,False,0.6965863450988687,4505936819.989865,0.7,0.7215528758239064,3.0276409042304877,0.3981264637002342,,,,,-0.019249126790154593,0.5009428032683847,-0.019249126790154593,True,60日价格动量(财报缺失后备),0.9322033898305084,0.8927974337323443,True,True
002913,奥士康,元件,申万二级行业,2026-09-21,84.5,742486930.85,0.37846655791190864,,,2026-09-25,9442369119.21513,0.06886603904203008,0.928,True,1.0,0.7906954400996901,0.38005774719708285,1.2172658094988194,0.10399790958975696,False,0.7282569962586649,3251370623.111805,0.6,1.2354749688222084,2.4232327426795166,0.30461633472286564,,,,,-0.019249126790154593,0.37846655791190864,-0.019249126790154593,True,60日价格动量(财报缺失后备),0.8983050847457628,0.892240520251107,True,True
