code,date,open,high,low,close,volume,amount,main_net,industry,name,ret5,ret10,ret20,ret60,ma20_gap,breakout20,vol20,amount_ratio5_20,flow5,flow10,flow_positive_ratio10,flow_z,net_return_1d,net_return_2d,net_return_3d,market_ret20,market_breadth,median_vol20,sector_flow5,mom20_rank,mom60_rank,flow10_rank,vol20_rank,ret5_industry_rank,sector_flow_rank,signal_score,strategy,horizon,net_return
601658,2026-07-17,5.04,5.11,5.03,5.09,171285464.0,872262483.0,436131241.4999904,国有大型银行Ⅱ,邮储银行,0.009920634920634885,0.030364372469635414,0.047325102880658276,-0.01737451737451734,0.019325122659457294,-0.0019607843137254832,0.01146640949977544,1.0009545403592333,0.6114490338777955,0.5797865085944186,0.8,0.8584143120522368,0.02211541501976293,-0.0035762845849802256,0.00828142292490135,-0.11284722222222232,0.2372745490981964,0.034428554525636104,0.5301061052748461,0.8953698135898978,0.860128617363344,0.9983967935871744,0.0020044097013429546,0.16666666666666666,0.999498997995992,0.9986070939232645,weak_defensive_flow,1,0.02211541501976293
601818,2026-07-17,3.12,3.16,3.11,3.13,266120097.0,835858046.0,-167171609.20000297,股份制银行Ⅱ,光大银行,0.02287581699346397,0.05033557046979853,0.016233766233766156,-0.01572327044025168,0.02943594803486249,-0.012618296529968487,0.012444347210611382,1.0387797117516782,0.3915724190698555,0.4965076379271684,0.7,0.770384188305492,0.01763076923076916,-0.0016,0.00801538461538458,-0.11284722222222232,0.2372745490981964,0.034428554525636104,0.35239923798735073,0.8348366406093406,0.8623392282958199,0.9973947895791583,0.0050110242533573865,0.4444444444444444,0.9979959919839679,0.9968534061508465,weak_defensive_flow,1,0.01763076923076916
000651,2026-07-17,39.83,40.31,39.68,39.95,68310630.0,2733162509.0,-390451786.9999824,白色家电,格力电器,0.04444444444444451,0.042264544743021215,0.08796296296296302,0.08148348673524652,0.044854191186086245,-0.002994759171449868,0.01020238044110826,1.0875902255767178,0.43609142789395644,0.3642322873584808,0.7,0.8633184568937103,0.017997989949748706,0.018249246231155914,0.025033165829145877,-0.11284722222222232,0.2372745490981964,0.034428554525636104,0.2784926601902805,0.9434756464221287,0.9186093247588425,0.9867735470941884,0.0006013229104028864,0.9,0.9960921843687375,0.9933566772751758,weak_defensive_flow,1,0.017997989949748706
601658,2026-07-20,5.06,5.19,5.05,5.18,231416919.0,1191426648.0,1021222841.1428463,国有大型银行Ⅱ,邮储银行,0.025742574257425765,0.04016064257028096,0.05284552845528445,-0.0057581573896353655,0.03465494856686302,0.013698630136986134,0.011768662893116556,1.0547160268272437,0.5932831077147451,0.602502414323223,0.8,0.8064833877003629,-0.031600000000000135,-0.031600000000000135,-0.031600000000000135,-0.13370668533426677,0.25961538461538464,0.03459918025674365,0.5550288843597226,0.9020236425566018,0.8837582814695845,0.9983974358974359,0.0018032458425165298,0.3333333333333333,0.9994991987179487,0.9986677602216039,weak_defensive_flow,1,-0.031600000000000135
601818,2026-07-20,3.12,3.18,3.11,3.18,290484973.0,918094133.0,918094133.0,股份制银行Ⅱ,光大银行,0.02912621359223322,0.03921568627450989,0.02912621359223322,0.0,0.044334975369458185,0.003154574132492094,0.012889282125529037,1.1049698825358547,0.42861070040599647,0.5330677245344575,0.7,0.7568553360181824,-0.01737287066246047,-0.007909148264984189,-0.004754574132492094,-0.13370668533426677,0.25961538461538464,0.03459918025674365,0.42343090095795605,0.8669605289521138,0.8899819313390885,0.9961939102564102,0.004207573632538569,0.4444444444444444,0.9941907051282052,0.995472503551264,weak_defensive_flow,1,-0.01737287066246047
600886,2026-07-20,14.61,14.98,14.59,14.95,79673621.0,1183414202.0,1001350478.615378,电力,国投电力,0.06938483547925589,0.10822831727205329,0.1342943854324734,0.09363569861009502,0.08972957212624832,0.0047043010752687575,0.01155543763096748,1.680260839162363,0.48578796437005584,0.5309420910401021,0.9,0.920375331783483,-0.0016,0.016364071856287455,0.004388023952095745,-0.13370668533426677,0.25961538461538464,0.03459918025674365,0.33213298586783385,0.9663394109396914,0.9381650271029913,0.9959935897435898,0.0012021638950110197,0.5,0.9794671474358975,0.9918769309597018,weak_defensive_flow,1,-0.0016
600886,2026-07-21,15.03,15.46,14.74,15.03,78347745.0,1184390576.0,-230298167.5555592,电力,国投电力,0.05621925509486991,0.11747211895910792,0.12753188297074258,0.11250925240562548,0.0888148362793395,0.0033377837116153053,0.011496702660607767,1.7746313580937607,0.28835409338778395,0.42372297113492874,0.8,0.7850864932951543,0.025245637583892578,0.013165100671140895,-0.006969127516778538,-0.13005600497822023,0.2548076923076923,0.03458012030745299,0.2810011027435048,0.968944099378882,0.9353543465167637,0.9925881410256411,0.0012021638950110197,0.6203703703703703,0.9892828525641025,0.9934594630109839,weak_defensive_flow,1,0.025245637583892578
601658,2026-07-21,5.2,5.22,5.04,5.05,226240506.0,1159267590.0,-1030460080.0000024,国有大型银行Ⅱ,邮储银行,0.001984126984126977,0.005976095617529875,-0.0019762845849802257,-0.02131782945736438,0.008789452656811969,-0.026974951830443294,0.011678699347144699,1.178439795512609,0.20659336518046117,0.3985455962672525,0.7,0.5797373263261236,0.014304572564612306,0.014304572564612306,0.01629264413518876,-0.13005600497822023,0.2548076923076923,0.03458012030745299,0.2798345190245631,0.8234822680825485,0.8636819915679582,0.9889823717948718,0.001402524544179523,0.3333333333333333,0.9778645833333334,0.9885315663546947,weak_defensive_flow,1,0.014304572564612306
000651,2026-07-21,40.55,41.09,40.11,40.59,77721451.0,3159029142.0,-64469982.489782825,白色家电,格力电器,0.03598774885145484,0.05703125000000009,0.08878755364806867,0.09880887926367099,0.052099533437014234,-0.0051470588235292825,0.010522723621610521,1.2489637366703628,0.2574733794717465,0.3659754613970155,0.7,0.9263582320846552,0.008535970333745358,0.0013666254635352107,-0.0013527812113720103,-0.13005600497822023,0.2548076923076923,0.03458012030745299,0.190308206491828,0.9481065918653576,0.9301345111423409,0.9849759615384616,0.0004007212983370066,0.8,0.9724559294871795,0.9856069470720374,weak_defensive_flow,1,0.008535970333745358
600886,2026-07-22,14.9,15.4,14.87,15.3,65934572.0,1001650870.0,623669409.6226437,电力,国投电力,0.05226960110041268,0.1367013372956909,0.1617312072892938,0.13249444855662484,0.09988857337982093,-0.010349288486416586,0.010955701468997719,1.7785400749259574,0.27301520327175277,0.4595140139857599,0.8,0.8505755862849258,-0.015298630136986357,-0.031600000000000024,-0.031600000000000024,-0.12274472005783116,0.2405849358974359,0.03424528802013978,0.371042543759444,0.9735576923076923,0.9403734189921702,0.991386217948718,0.0016025641025641025,0.6018518518518519,0.9892828525641025,0.9928585737179487,weak_defensive_flow,1,-0.015298630136986357
